company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Design Force,2022-11-16T05:33:20.831Z,Management  consultant - for-profits,Professional & technical services,United States,District of Columbia,Washington,Service with Minor Environmental Footprint,1-9,designforce.me
PAD studio Ltd,2023-01-16T13:07:41.005Z,Architecture design & planning,"Real estate, design & building",United Kingdom,Hampshire,Lymington,Service with Minor Environmental Footprint,1-9,www.padstudio.co.uk
Damasco,2022-10-17T17:09:22.217Z,Management  consultant - for-profits,Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service with Minor Environmental Footprint,0,www.damasco.co
Danone Specialised Nutrition UK & Ireland,2022-01-14T08:38:51.549Z,Food products,Manufactured Goods,United Kingdom,London Borough of Hounslow,London,Manufacturing,1000+,www.danone.co.uk
TEN OVER STUDIO,2022-10-18T17:47:08.735Z,Architecture design & planning,"Real estate, design & building",United States,California,San Luis Obispo,Service with Minor Environmental Footprint,10-49,tenoverstudio.com
OMAL S.p.A,2017-09-28T00:00:00Z,Fabricated metal products,Manufactured Goods,Italy,Lombardy,Rodengo Saiano (Brescia),Manufacturing,50-249,www.omal.it
Gravning GmbH,2022-10-06T05:52:09.269Z,Management  consultant - for-profits,Professional & technical services,Germany,Hamburg,Hamburg,Service with Minor Environmental Footprint,10-49,www.gravning.de
The Community Company,2021-07-30T20:25:04.118Z,General retail via Internet,Retail,Canada,Ontario,Guelph,Wholesale/Retail,0,www.communitycompany.org
Global Round Table Leadership,2022-10-16T13:30:43.382Z,Management consultant - for-profits,Professional & technical services,United States,New Hampshire,Keene,Service with Minor Environmental Footprint,1-9,www.globalroundtableleadership.com
INBONIS s.a.,2022-10-25T11:16:16.861Z,Software publishing and SaaS platforms,"Information, communication & technology",Spain,Madrid,Madrid,Service with Minor Environmental Footprint,10-49,www.inbonis.com
Dead Happy Limited,2022-10-04T05:00:00.38Z,Life insurance,Financial & insurance activities,United Kingdom,Leicestershire,Leicester,Service with Minor Environmental Footprint,10-49,www.deadhappy.com
Don't Cry Wolf,2022-10-17T09:22:49.663Z,Advertising & market research,Professional & technical services,United Kingdom,London Borough of Hackney,London,Service with Minor Environmental Footprint,10-49,dontcrywolf.com
Les Mouettes Vertes,2022-10-04T23:27:40.33Z,Textiles,Manufactured Goods,France,Paris,Paris,Manufacturing,10-49,www.lesmouettesvertes.fr
B1G1,2021-05-27T04:07:25.168Z,Membership organizations,Other services,Singapore,Singapore,Singapore,Service with Minor Environmental Footprint,1-9,www.b1g1.com
RPM,2021-02-08T03:35:47.601Z,Advertising & market research,Professional & technical services,United Kingdom,London,London,Service with Minor Environmental Footprint,50-249,www.rpmltd.com
Vermont Creamery,2021-08-23T23:13:19.87Z,Food products,Manufactured Goods,United States,Vermont,Websterville,Manufacturing,50-249,www.vermontcreamery.com
Kingsfleet,2022-05-18T14:13:36.866Z,Investment advising,Financial & insurance activities,United Kingdom,Suffolk,Claydon,Service with Minor Environmental Footprint,1-9,www.kingsfleetwealth.co.uk
Brew Tea Company,2017-07-27T00:00:00Z,Beverages,Wholesale,United Kingdom,Lancashire,Manchester,Wholesale/Retail,10-49,www.brewteacompany.co.uk
Berg Kaprow Lewis LLP,2022-09-29T14:47:20.86Z,Accounting & auditing,Professional & technical services,United Kingdom,London Borough of Barnet,Finchley,Service with Minor Environmental Footprint,50-249,www.bkl.co.uk
Joseph Homes,2020-05-14T14:22:06.697Z,Real estate development,"Real estate, design & building",United Kingdom,London Borough of Lambeth,London,Service with Significant Environmental Footprint,10-49,www.josephhomes.co.uk
Radish Lab,2022-10-17T11:17:19.716Z,"Other professional, scientific & tech",Professional & technical services,United States,New York,Brooklyn,Service with Minor Environmental Footprint,10-49,www.radishlab.com
Cyborg Mobile,2020-02-19T15:09:04.318Z,Management  consultant - for-profits,Professional & technical services,United States,Washington,Renton,Service with Minor Environmental Footprint,10-49,www.cyborgmobile.com
Cascadia Seaweed,2022-09-30T22:35:15.233Z,Fishing & aquaculture,"Agriculture, forestry & fishing",Canada,British Columbia,Sidney,Manufacturing,10-49,www.cascadiaseaweed.com
"Danone Waters of America, Inc.",2019-06-10T00:00:00Z,Beverages,Wholesale,United States,New York,White Plains,Wholesale/Retail,50-249,www.evian.com/en_us
DIOSA designs Inc.,2022-10-13T01:16:41.874Z,Leather & related products,Retail,Canada,Newfoundland and Labrador,St. John's,Wholesale/Retail,1-9,diosadesigns.com
Stay Wild Swim Limited,2022-05-17T16:00:02.621Z,Apparel,Retail,United Kingdom,UK,London,Wholesale/Retail,1-9,staywildswim.com
Ethical Profit Accounting Agency,2020-10-02T18:50:45.301Z,Accounting & auditing,Professional & technical services,Canada,Ontario,York,Service with Minor Environmental Footprint,0,www.ethicalprofitagency.com
Hilltop Honey LTD,2022-10-10T02:38:05.996Z,Food products,Manufactured Goods,United Kingdom,Wales,Newtown,Manufacturing,50-249,lovehilltop.com
NOVULIS,2019-10-23T13:30:28.716Z,Medical & dental practice,Human health & social work,Ecuador,Pichincha Province,Quito,Service with Significant Environmental Footprint,10-49,www.novulismed.com
NationSwell,2022-10-21T07:49:19.064Z,Social networks & info sharing,"Information, communication & technology",United States,New York,New York,Service with Minor Environmental Footprint,10-49,nationswell.com/
Candy Kittens,2022-10-07T04:50:11.07Z,Food products,Retail,United Kingdom,London Borough of Hammersmith and Fulham,London,Wholesale/Retail,10-49,www.candykittens.co.uk
Blue Beautifly,2019-07-08T00:00:00Z,Personal care products,Manufactured Goods,United States,California,Oakland,Manufacturing,1-9,www.bluebeautifly.com
GreenCollar,2021-06-23T04:27:09.823Z,Other financial services,Financial & insurance activities,Australia,New South Wales,Sydney,Service with Minor Environmental Footprint,10-49,www.greencollar.com.au
The Standing CT Company Limited,2020-07-14T13:29:54.515Z,Medical & dental supplies,Retail,United Kingdom,Buckinghamshire,High Wycombe,Wholesale/Retail,1-9,www.standingct.com
Redington Limited,2022-10-13T16:51:09.006Z,Pension/retirement plans,Financial & insurance activities,United Kingdom,London,London,Service with Minor Environmental Footprint,50-249,redington.co.uk
Notchup,2022-07-18T12:51:22.27Z,Other info service activities,"Information, communication & technology",France,Pays de la Loire,Nantes,Service with Minor Environmental Footprint,10-49,www.notchup.fr
Pony Rider,2022-12-19T04:29:52.49Z,Textiles,Retail,Australia,New South Wales,Newport,Wholesale/Retail,1-9,www.ponyrider.com.au
Quinto Impacto,2022-10-14T14:48:12.208Z,Software publishing and SaaS platforms,"Information, communication & technology",Argentina,Mendoza,Ciudad,Service with Minor Environmental Footprint,10-49,quintoimpacto.net
Full Steam Espresso Limited (T/A Volcano Coffee Works & Assembly Coffee),2021-04-28T10:40:43.429Z,Beverages,Manufactured Goods,United Kingdom,London,London,Manufacturing,10-49,www.volcanocoffeeworks.com
Psychopomp Limited,2022-10-25T07:54:28.94Z,Beverages,Manufactured Goods,United Kingdom,United Kingdom,Bristol,Manufacturing,1-9,microdistillery.co.uk
Panino Giusto SpA Società Benefit,2020-01-21T14:52:55.419Z,Food products,Retail,Italy,Metropolitan City of Milan,Milano,Wholesale/Retail,250-999,www.paninogiusto.it
themakers.ai GmbH,2021-10-20T13:06:17.333Z,Food products,Retail,Germany,Berlin,Berlin,Wholesale/Retail,10-49,www.themakers.ai
"KeHE Distributors, LLC",2020-03-19T15:56:48.26Z,Food products,Wholesale,United States,Illinois,Naperville,Wholesale/Retail,1000+,www.kehe.com
Earth Animal Ventures,2022-10-11T18:51:59.345Z,Food products,Wholesale,United States,Connecticut,Southport,Wholesale/Retail,50-249,earthanimal.com
Emma & Tom's,2017-06-29T00:00:00Z,Beverages,Wholesale,Australia,Victoria,Melbourne,Wholesale/Retail,10-49,www.emmaandtom.com
Foods for Tomorrow,2021-04-23T16:42:23.934Z,Food products,Retail,Spain,Barcelona,Barcelona,Wholesale/Retail,10-49,heurafoods.com
Grounded World,2019-10-17T19:31:23.509Z,Advertising & market research,Professional & technical services,United States,Connecticut,Westport,Service with Minor Environmental Footprint,0,www.grounded.world
Revelry Group,2021-03-03T22:20:52.946Z,Advertising & market research,Professional & technical services,United States,Oregon,Portland,Service with Minor Environmental Footprint,10-49,www.revelrygroup.com
VivoPower International PLC,2021-12-20T11:31:57.338Z,Other renewable energy installation,Energy,United Kingdom,London,London,Service with Minor Environmental Footprint,50-249,vivopower.com
People Management Lab - SB SRL,2019-11-26T11:25:52.201Z,Management consultant - for-profits,Professional & technical services,Italy,Lazio,Rome,Service with Minor Environmental Footprint,1-9,www.peoplemanagementlab.com
Arytza,2019-10-29T21:24:53.535Z,Food products,Manufactured Goods,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Manufacturing,1-9,www.arytza.com.ar
Progressio SGR,2021-12-22T15:41:31.235Z,Equity investing - Developed Markets,Financial & insurance activities,Italy,Milano,Milano,Service with Minor Environmental Footprint,10-49,www.progressiosgr.it
Wuxly Movement,2021-12-20T18:20:01.316Z,Apparel,Wholesale,Canada,Ontario,Toronto,Wholesale/Retail,10-49,wuxly.com
"Catalyst Law, LLC",2018-04-18T00:00:00Z,Legal activities,Professional & technical services,United States,Oregon,Portland,Service with Minor Environmental Footprint,1-9,catalystlawllc.com
Conductor Solar,2022-03-21T09:19:36.061Z,Other renewable energy installation,Energy,United States,Ohio,Athens,Service with Minor Environmental Footprint,1-9,https://conductor.solar
Aggelos,2022-10-11T20:01:48.159Z,Other info service activities,"Information, communication & technology",France,Aquitaine,Bordeaux,Service with Minor Environmental Footprint,10-49,www.aggelos.fr
Re:Vision Architecture,2022-01-20T21:21:27.885Z,Architecture design & planning,"Real estate, design & building",United States,Pennsylvania,Philadelphia,Service with Minor Environmental Footprint,10-49,revisionarch.com
MB Pension and Benefits Group Inc.,2020-08-19T14:26:17.917Z,Health insurance,Financial & insurance activities,Canada,British Columbia,North Vancouver,Service with Minor Environmental Footprint,1-9,www.mb-group.ca
Pyramid,2022-11-12T08:31:31.139Z,Software publishing and SaaS platforms,"Information, communication & technology",France,Paris,Paris,Service with Minor Environmental Footprint,50-249,https://www.pyramid.family/
Powder Bowl Trading Ltd,2021-03-11T15:55:25.399Z,Food products,Retail,United Kingdom,London,London,Wholesale/Retail,10-49,www.bolfoods.com
Caisse d'Epargne Hauts de France,2022-10-25T08:13:25.943Z,Deposit bank - Developed Markets,Financial & insurance activities,France,Hauts-de-France,Lille,Service with Minor Environmental Footprint,1000+,www.caisse-epargne.fr/hauts-de-france/particuliers
Sycamore Financial Group,2021-02-01T14:51:16.296Z,Investment advising,Financial & insurance activities,United States,Indiana,kokomo,Service with Minor Environmental Footprint,1-9,www.sycamoreweb.com
Savhera,2022-06-03T03:57:18.822Z,Personal care products,Wholesale,United States,Texas,Hurst,Wholesale/Retail,10-49,www.savhera.com
SR2 - Socially Responsible Recruitment,2021-08-06T13:28:11.652Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,City of Bristol,Bristol,Service with Minor Environmental Footprint,10-49,www.sr2rec.co.uk
El Ordeño,2019-09-13T13:11:05.823Z,Beverages,Manufactured Goods,Ecuador,Pichincha Province,Quito,Manufacturing,250-999,www.elordeno.com
"Northwest Capital Management, Inc.",2019-07-05T00:00:00Z,Investment advising,Financial & insurance activities,United States,Oregon,Lake Oswego,Service with Minor Environmental Footprint,10-49,nwcm.com
Resurrection,2021-03-11T17:15:21.812Z,Food products,Manufactured Goods,France,Nouvelle Aquitaine,Bordeaux,Manufacturing,1-9,crackers-resurrection.com
Soul Energy,2022-11-21T11:20:14.69Z,Other renewable energy installation,Energy,South Korea,Seoul,Seoul,Service with Significant Environmental Footprint,50-249,http://soulenergy.co.kr
Forster Communications,2021-02-12T08:19:46.465Z,Advertising & market research,Professional & technical services,United Kingdom,London,London,Service with Minor Environmental Footprint,10-49,www.forster.co.uk
ENGAGE FOR,2022-08-09T08:47:16.263Z,"Other professional, scientific & tech",Professional & technical services,France,île de France,Paris,Service with Significant Environmental Footprint,1-9,www.engage.world
Fairtrade Original bv,2021-04-19T08:33:40.327Z,Food products,Wholesale,Netherlands The,Gelderland,Culemborg,Wholesale/Retail,10-49,www.fairtradeoriginal.nl
Digital Attitude Srl,2022-10-11T09:36:59.332Z,Software publishing and SaaS platforms,"Information, communication & technology",Italy,Italy,Milano,Service with Minor Environmental Footprint,10-49,digitalattitude.com
Boly:Welch,2022-05-04T20:03:57.288Z,Employment placement & HR,Administrative & support services,United States,Oregon,Portland,Service with Minor Environmental Footprint,50-249,www.bolywelch.com
St. Oberholz Consulting GmbH,2023-02-16T09:26:40.038Z,Other business support,Administrative & support services,Germany,Berlin,Berlin,Service with Minor Environmental Footprint,1-9,https://sanktoberholz-consulting.de/
Vibrant Body Company,2022-09-18T18:01:01.602Z,Apparel,Retail,United States,Wisconsin,Milwaukee,Wholesale/Retail,1-9,vibrantbodycompany.com
17 Ways,2021-05-27T18:57:51.089Z,Other business support,Administrative & support services,United States,Ohio,Cincinnati,Service,0,17ways.co
"ByFusion Global, Inc",2022-09-27T11:10:23.232Z,Other recycling,Waste Management & Recycling,United States,California,Gardena,Manufacturing,1-9,www.byfusion.com
purefood GmbH,2022-10-13T15:03:34.534Z,Food products,Retail,Germany,Hamburg,Hamburg,Wholesale/Retail,10-49,www.purefood.de; lycka.bio; STARK.bio; Teatox.de
"NorthFork Financial, LLC",2019-05-29T00:00:00Z,Investment advising,Financial & insurance activities,United States,Montana,Bozeman,Service with Minor Environmental Footprint,1-9,www.northforkfinancial.com
Paul Gregory Media,2020-07-13T20:52:04.844Z,"Other professional, scientific & tech",Professional & technical services,United States,Illinois,Naperville,Service with Minor Environmental Footprint,1-9,paulgregorymedia.com
"Ash Creek Forest Management, LLC",2023-01-26T16:31:11.722Z,Other personal services,Other services,United States,Oregon,Tigard,Service with Minor Environmental Footprint,10-49,www.ashcreekforestry.org
YouGreen Cooperativa,2018-11-07T00:00:00Z,Materials recovery & recycling,Waste Management & Recycling,Brazil,São Paulo,São Paulo,Manufacturing,10-49,www.yougreen.coop
Ecosia GmbH,2022-03-31T18:25:16.324Z,Other info service activities,"Information, communication & technology",Germany,Berlin,Berlin,Service with Minor Environmental Footprint,50-249,www.ecosia.org
DervalResearch,2023-01-04T05:06:26.659Z,Scientific R&D,Professional & technical services,Estonia,Harju County,Tallinn,Service with Minor Environmental Footprint,0,www.dervalresearch.com
Raw London,2020-01-22T16:00:23.953Z,"Film, TV & music production","Arts, entertainment & recreation",United Kingdom,City of London,London,Service with Minor Environmental Footprint,10-49,raw.london/
Intelligent I-N,2022-10-18T20:06:40.352Z,Personal care products,Wholesale,United States,Minnesota,Minneapolis,Wholesale/Retail,10-49,I-Nbeauty.com
Cook Trading Ltd,2021-06-10T19:43:04.089Z,Food products,Manufactured Goods,United Kingdom,Kent,Sittingbourne,Manufacturing,250-999,www.cookfood.net
Freesia Company Limited,2016-11-07T00:00:00Z,Residential nursing care,Human health & social work,Japan,Saitama Prefecture,Kodama-gun,Service with Minor Environmental Footprint,10-49,hp.kaipoke.biz/0au
Code For Australia,2019-12-06T08:32:09.71Z,Computer programming services,"Information, communication & technology",Australia,Victoria,Collingwood,Service with Minor Environmental Footprint,1-9,codeforaustralia.org
Educor Kenya Limited,2020-09-17T13:19:11.961Z,Pre- & primary education,Education,Kenya,Nairobi,Nairobi,Service with Significant Environmental Footprint,50-249,www.montessorihouse.sc.ke
Special Projects,2023-02-27T15:29:28.235Z,Mobile applications,"Information, communication & technology",United Kingdom,London Borough of Richmond upon Thames,London,Service with Minor Environmental Footprint,1-9,www.specialprojects.studio
Butler/Till,2022-06-03T17:47:38.031Z,Advertising & market research,Professional & technical services,United States,New York,Rochester,Service with Minor Environmental Footprint,50-249,www.butlertill.com
KeepCup,2020-02-13T22:33:40.932Z,Rubber & plastics products,Wholesale,Australia,Victoria,Clifton Hill,Wholesale/Retail,50-249,keepcup.com
Exponent Partners,2022-10-13T12:18:13.087Z,Computer programming services,"Information, communication & technology",United States,California,San Francisco,Service with Minor Environmental Footprint,50-249,www.exponentpartners.com
Natural Well Pty Ltd,2019-10-04T07:38:55.828Z,Food products,Wholesale,Australia,Victoria,Fairfield,Wholesale/Retail,1-9,www.firstray.com.au
Ibitipoca Reserva Ambiental,2020-02-21T18:21:43.1Z,Accommodation,Accommodation & food service,Brazil,Minas Gerais,Lima Duarte,Service with Significant Environmental Footprint,50-249,ibiti.com
Ideal Manufacturing Ltd t/a Fill Refill Co,2022-11-01T07:00:54.47Z,Cleaning products,Retail,United Kingdom,Northamptonshire,Wellingborough,Wholesale/Retail,10-49,www.fillrefill.co
SCADIF spa,2019-07-24T15:07:32.717Z,Paper & paper products,Manufactured Goods,Italy,Province of Parma,Fontanellato,Manufacturing,10-49,www.scadif.it
BioCarbon Partners Limited,2021-03-18T19:38:18.816Z,Non-residential social work,Human health & social work,Zambia,Lusaka Province,Lusaka,Service with Minor Environmental Footprint,50-249,https://bcp.earth/
PRAGMA,2022-06-03T17:13:30.566Z,Investment advising,Financial & insurance activities,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,10-49,pragmabr.com
Local Peoples,2022-07-27T13:58:10.504Z,Other personal services,Other services,Australia,Victoria,Abbotsford,Service with Minor Environmental Footprint,1-9,www.localpeoples.com
Whiteboard,2021-05-20T16:40:45.219Z,Advertising & market research,Professional & technical services,United States,Tennessee,Chattanooga,Service with Minor Environmental Footprint,10-49,www.whiteboard.is
Recycling Lives Holdings Ltd,2022-12-15T08:59:16.54Z,Materials recovery & recycling,Waste Management & Recycling,United Kingdom,Lancashire,Preston,Manufacturing,250-999,www.recyclinglives.com
Impression Digital Limited,2022-10-11T06:50:27.211Z,Other info service activities,"Information, communication & technology",United Kingdom,Nottinghamshire,Nottingham,Service with Minor Environmental Footprint,50-249,www.impression.co.uk
Bird & Blend Tea Ltd.,2022-10-07T02:45:59.858Z,Food products,Retail,United Kingdom,East Sussex,Goring-by-Sea,Wholesale/Retail,50-249,www.birdandblend.com
Percy Ellis Holdings Inc.,2022-10-13T16:49:40.768Z,Real estate development,"Real estate, design & building",Canada,Ontario,Toronto,Service with Significant Environmental Footprint,10-49,www.percyellis.com
Kindred Credit Union,2020-04-23T23:16:28.28Z,Deposit bank - Developed Markets,Financial & insurance activities,Canada,Ontario,Kitchener,Service with Minor Environmental Footprint,50-249,www.kindredcu.com
GENUI GmbH,2022-10-25T14:58:19.562Z,Equity investing - Developed Markets,Financial & insurance activities,Germany,Hamburg,Hamburg,Service with Minor Environmental Footprint,10-49,https://www.genui.de/en/home-en/
Generøs,2019-09-06T14:49:46.917Z,Management consultant - for-profits,Professional & technical services,Denmark,Capital Region of Denmark,Copenhagen,Service with Minor Environmental Footprint,1-9,generousbusiness.dk
Tuhoe Tuawhenua Trust T/A Manawa Honey NZ,2022-10-13T01:29:34.466Z,Agricultural Processing,"Agriculture, forestry & fishing",New Zealand,Bay of Plenty Region,Ruatahuna,Manufacturing,1-9,www.manawahoney.co.nz
Come Together Wellness,2022-10-29T11:37:16.717Z,Accommodation,Accommodation & food service,United States,Hawaii,Kauai,Service with Significant Environmental Footprint,0,www.cometogetherwellness.com
Groennfell Meadery LLC,2020-01-16T17:50:04.556Z,Beverages,Manufactured Goods,United States,Vermont,St Albans,Manufacturing,1-9,www.groennfell.com
EcoAmmo Sustainable Consulting (2017) Inc.,2022-06-03T16:58:30.294Z,Design & building,"Real estate, design & building",Canada,Alberta,Edmonton,Service,1-9,www.ecoammo.com
Decah,2022-09-19T21:43:22.351Z,Other business support,Administrative & support services,Brazil,Rio de Janeiro,Rio de Janeiro,Service with Minor Environmental Footprint,0,www.decah.co
Numerik,2021-12-03T02:42:35.852Z,Management  consultant - for-profits,Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,1-9,www.numerik.co
Origin Coffee,2020-07-27T08:42:56.905Z,Food products,Manufactured Goods,United Kingdom,Cornwall,Porthleven,Manufacturing,50-249,www.origincoffee.co.uk
Project Imagine Ltd.,2022-07-10T23:15:46.654Z,Other financial services,Financial & insurance activities,United Kingdom,London Borough of Tower Hamlets,London,Service with Minor Environmental Footprint,10-49,www.projectimagine.com
Beekeeper's Naturals Inc.,2019-04-17T00:00:00Z,Food products,Retail,Canada,Ontario,Toronto,Wholesale/Retail,1-9,www.beekeepersnaturals.com
"Lemonade, Inc.",2020-02-24T14:03:25.959Z,Non-life insurance,Financial & insurance activities,United States,New York,New York,Service with Minor Environmental Footprint,50-249,www.lemonade.com
Inbundance Wealth Management,2022-04-25T00:17:49.312Z,Life insurance,Financial & insurance activities,United States,Oregon,Portland,Service with Minor Environmental Footprint,0,inbundance.com
Twine Fair Trade Company,2022-07-27T23:40:45.408Z,Apparel,Retail,Taiwan,New Taipei City,Tapei,Wholesale/Retail,10-49,twine.com.tw
start2impact University,2021-12-19T21:02:03.822Z,Education & training services,Education,Italy,Lombardy,Milano,Service with Minor Environmental Footprint,10-49,www.start2impact.it
Tintoria P.A. Jacchetti srl Società Benefit,2023-01-29T09:19:47.543Z,Textiles,Manufactured Goods,Italy,Lombardy,Como,Manufacturing,10-49,www.tintoriajacchetti.it
UpHouse,2022-11-28T19:53:58.221Z,Advertising & market research,Professional & technical services,Canada,Manitoba,Winnipeg,Service with Minor Environmental Footprint,10-49,www.uphouseinc.com
Horizon Business Plans,2022-09-19T02:32:57.421Z,Management  consultant - for-profits,Professional & technical services,Australia,Victoria,Torquay,Service with Minor Environmental Footprint,0,www.horizonbusinessplans.com.au
Tech Networks of Boston,2020-03-16T17:34:03.968Z,Telecommunications,"Information, communication & technology",United States,Massachusetts,South Boston,Service with Minor Environmental Footprint,10-49,www.techboston.com/
HemingwayDesign,2022-09-06T01:06:25.983Z,Spec design (non-building),Professional & technical services,United Kingdom,Middlesex,london,Service with Minor Environmental Footprint,10-49,www.hemingwaydesign.co.uk
Fair Game Beverage Company,2022-08-02T21:50:54.724Z,Beverages,Manufactured Goods,United States,North Carolina,Pittsboro,Manufacturing,1-9,www.fairgamebeverage.com
Pawprint,2021-11-22T14:52:34.77Z,Social networks & info sharing,"Information, communication & technology",United Kingdom,Scotland,Edinburgh,Service with Minor Environmental Footprint,10-49,www.pawprint.eco
Beyond Governance Limited,2020-11-27T16:28:18.719Z,Legal activities,Professional & technical services,United Kingdom,London,London,Service with Minor Environmental Footprint,1-9,www.beyondgovernance.com
"CONSERVAS ANTONIO PÉREZ LAFUENTE, S.A.",2023-01-25T10:45:22.684Z,Fishing & aquaculture,"Agriculture, forestry & fishing",Spain,Galicia,Vilanova de Arousa,Manufacturing,10-49,www.pandomar.net
GladRags,2019-10-11T18:49:51.712Z,Personal care products,Retail,United States,Oregon,Portland,Wholesale/Retail,1-9,www.gladrags.com
Gousto,2021-08-24T18:37:30.822Z,Food products,Retail,United Kingdom,London,London,Wholesale/Retail,1000+,www.gousto.co.uk
do good well consulting,2022-02-24T00:41:17.084Z,Management  consultant - for-profits,Professional & technical services,United States,Florida,Gainesville,Service with Minor Environmental Footprint,0,dogoodwellconsulting.com
Tickbox,2019-10-07T13:45:01.783Z,Other info service activities,"Information, communication & technology",Australia,Victoria,Melbourne,Service with Minor Environmental Footprint,10-49,www.tickbox.com.au
Spinlock Ltd,2022-08-03T10:00:08.521Z,Sports goods,Manufactured Goods,United Kingdom,Isle of Wight,Cowes,Manufacturing,50-249,www.spinlock.co.uk
HR-People First Consultancy Ltd,2022-05-04T11:29:14.233Z,Other personal services,Other services,United Kingdom,London Borough of Islington,hr-peoplefirst.com,Service with Minor Environmental Footprint,1-9,hr-peoplefirst.com
Move Avaliação e Estratégia em Desenvolvimento Social,2022-12-29T14:37:42.462Z,"Other professional, scientific & tech",Professional & technical services,Brazil,São Paulo,São Paulo,Service with Minor Environmental Footprint,10-49,www.move.social
Encircled,2021-07-21T23:00:53.114Z,Apparel,Wholesale,Canada,Ontario,Toronto,Wholesale/Retail,1-9,www.encircled.ca
Regenerative Pathways,2022-03-07T17:34:29.411Z,Web portals,"Information, communication & technology",United States,Colorado,Boulder,Service with Minor Environmental Footprint,0,https://regenerativepathways.net
Anthesis Group,2020-12-29T00:00:00Z,Management  consultant - for-profits,Professional & technical services,United Kingdom,London Borough of Camden,London,Service with Minor Environmental Footprint,250-999,www.anthesisgroup.com
Sno-Isle Food Co-op,2019-06-27T00:00:00Z,Food products,Retail,United States,Washington,Everett,Wholesale/Retail,50-249,www.snoislefoods.coop
Apologue LLC,2019-09-23T15:11:19.7Z,Beverages,Wholesale,United States,Illinois,Chicago,Wholesale/Retail,1-9,www.exporeapologue.com
Openly,2022-09-07T02:00:27.433Z,Management consultant - nonprofits,Professional & technical services,Canada,Ontario,Guelph,Service with Minor Environmental Footprint,10-49,changeopenly.com
dynamo cycling,2019-12-06T13:58:02.244Z,Athletic & fitness centers,"Arts, entertainment & recreation",France,Paris,Paris,Service with Significant Environmental Footprint,10-49,www.dynamo-cycling.com
Ingle & Rhode Ltd,2023-03-07T08:49:43.671Z,Jewelry & related articles,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,1-9,www.ingleandrhode.co.uk
BAU Accesibilidad,2021-10-25T20:16:44.574Z,Other/general wholesale trade,Wholesale,Chile,Santiago Metropolitan Region,Vitacura,Wholesale/Retail,1-9,www.bauaccesibilidad.cl
PT. Miko Bahtera Nusantara (MYCL),2022-09-19T10:21:46.184Z,Other manufacturing,Manufactured Goods,Indonesia,West Java,Bandung,Manufacturing,10-49,https://mycl.bio/
Combio Energia S/A,2022-08-03T15:10:02.842Z,Steam & air conditioning,"Energy, Heating & Cooling",Brazil,São Paulo,São Paulo,Manufacturing,250-999,www.combio.com
Flipside Creative,2021-12-29T18:12:33.934Z,Advertising & market research,Professional & technical services,Canada,British Columbia,Golden,Service with Minor Environmental Footprint,0,www.flip-side.ca
Betterfly,2020-10-26T15:29:41.617Z,Mobile applications,"Information, communication & technology",Chile,Santiago Metropolitan Region,Santiago,Service with Minor Environmental Footprint,10-49,https://betterfly.com/es_cl/
Vélogik,2022-07-29T13:22:49.312Z,Transportation support,Transportation & storage,France,Rhône-Alpes,Lyon,Service with Significant Environmental Footprint,50-249,www.velogik.com
The Nursery Research & Planning Ltd,2022-10-20T11:32:33.486Z,Advertising & market research,Professional & technical services,United Kingdom,City of Westminster,London,Service with Minor Environmental Footprint,10-49,www.the-nursery.net
Taiwan Dive Center,2022-06-03T11:42:26.951Z,Other recreation,"Arts, entertainment & recreation",Taiwan,Pingtung County,Hengchun Township,Service with Minor Environmental Footprint,10-49,www.taiwan-dive.com
InNature Berhad,2023-02-20T18:04:28.899Z,Personal care products,Retail,Malaysia,Selangor,Subang Jaya,Wholesale/Retail,250-999,https://innature.com.my/
Crosby Hops,2018-05-24T00:00:00Z,Agricultural Processing,"Agriculture, forestry & fishing",United States,Oregon,Woodburn,Agriculture/Growers,10-49,crosbyhops.com
Vebego Participatie,2022-08-02T15:21:58.436Z,Other human health,Human health & social work,Netherlands The,Limburg,Hoensbroek,Service with Minor Environmental Footprint,250-999,www.vebego.nl/participatie
PUCCI,2020-09-02T22:20:26.534Z,Books or other media,Retail,Costa Rica,San Jose,San Jose,Wholesale/Retail,1-9,www.pucci.cr
The Farm,2019-04-04T00:00:00Z,Mixed Farming,"Agriculture, forestry & fishing",Australia,New South Wales,Byron Bay,Agriculture/Growers,1-9,thefarm.com.au
One Hundred Seconds,2022-04-01T20:49:40.227Z,Other info service activities,"Information, communication & technology",United States,Oregon,Portland,Service with Minor Environmental Footprint,1-9,www.onehundredseconds.com
TANIA ELLIS - The Social Business Company,2019-08-02T12:49:46.497Z,Management consultant - for-profits,Professional & technical services,Denmark,Capital Region of Denmark,Copenhagen,Service with Minor Environmental Footprint,1-9,www.taniaellis.com
