company_name,date_certified,industry,industry_category,country,state,city,sector,size,website       
Pleasant State,2022-02-03T10:48:58.4Z,Cleaning products,Retail,Australia,Queensland,Coolum Beach,Wholesale/Retail,1-9,www.pleasantstate.com
"Blue Marble Ice Cream, LLC",2017-08-05T00:00:00Z,Food products,Manufactured Goods,United States,New York,Brooklyn,Manufacturing,10-49,www.bluemarbleicecream.com
Conscious Revolution,2022-03-29T12:54:25.885Z,Management  consultant - for-profits,Professional & technical services,United States,Maine,Portland,Service with Minor Environmental Footprint,1-9,consciousrevolution.com
Rudenetworks Srl Società Benefit,2022-03-29T16:20:16.757Z,"Film, TV & music production","Arts, entertainment & recreation",Italy,Lombardy,Assago,Service with Minor Environmental Footprint,1-9,www.ruderecords.com
Sea2See,2021-12-20T17:59:59.353Z,Rubber & plastics products,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,1-9,www.sea2see.org
Mission Enrollment,2022-02-23T15:27:19.011Z,Management consultant - nonprofits,Professional & technical services,United States,California,Redlands,Service with Minor Environmental Footprint,1-9,www.missionenrollment.com
Hopworks Urban Brewery,2022-03-03T03:51:44.405Z,Beverages,Manufactured Goods,United States,Oregon,Portland,Manufacturing,50-249,hopworksbeer.com
TotalCtrl,2021-03-11T09:44:48.379Z,Software publishing and SaaS platforms,"Information, communication & technology",Norway,Oslo,Oslo,Service with Minor Environmental Footprint,1-9,www.totalctrl.com
Captain Blankenship,2022-04-05T18:19:38.803Z,Personal care products,Retail,United States,New York,New Paltz,Wholesale/Retail,1-9,www.captainblankenship.com
Naledo Foods and Beverages INC,2020-05-26T14:31:16.106Z,Food products,Wholesale,Canada,British Columbia,Vancouver,Wholesale/Retail,0,www.naledo.com
evolveEA,2022-03-30T15:39:17.29Z,Architecture design & planning,"Real estate, design & building",United States,Pennsylvania,Pittsburgh,Service with Minor Environmental Footprint,10-49,www.evolveEA.com
Grupo Mitre,2020-06-12T21:29:57.333Z,Other install & construction,"Real estate, design & building",Argentina,Buenos Aires,Munro,Service with Significant Environmental Footprint,50-249,grupomitre.com.ar
Veriant,2022-03-30T15:46:52.396Z,Personal care products,Retail,United States,California,South San Francisco,Wholesale/Retail,0,www.veriant.com
Oxfam Fair Trade,2021-07-19T14:24:48.186Z,Food products,Retail,Belgium,East Flanders,Ghent,Wholesale/Retail,10-49,www.oft.be
EEM EHS Management,2020-04-22T17:42:35.084Z,Environmental consulting,Professional & technical services,Canada,Quebec,Montreal,Service with Minor Environmental Footprint,1-9,eem.ca
Peoplerise,2021-03-29T13:21:01.271Z,Management  consultant - for-profits,Professional & technical services,Italy,Padova,Padova,Service with Minor Environmental Footprint,1-9,www.peoplerise.net/it
De Lolita Restó Café,2022-03-31T16:04:36.548Z,Food products,Manufactured Goods,Colombia,Antioquia Department,Sabaneta,Manufacturing,50-249,delolita.com
Azesta,2022-03-29T06:04:35.523Z,"Other professional, scientific & tech",Professional & technical services,United Kingdom,North Yorkshire,Pateley Bridge,Service with Minor Environmental Footprint,1-9,www.azesta.co.uk
PortXchange Products B.V.,2023-02-20T01:35:50.242Z,Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,Zuid Holland,Rotterdam,Service with Minor Environmental Footprint,10-49,www.port-xchange.com
Elephants Delicatessen,2022-03-31T16:28:51.53Z,Restaurants & food service,Accommodation & food service,United States,Oregon,Portland,Service with Significant Environmental Footprint,250-999,www.elephantsdeli.com
Fiils Beauty Limited,2022-12-25T00:35:04.073Z,Personal care products,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,1-9,fiils.co
Veris Wealth Partners,2022-11-23T15:43:40.888Z,Investment advising,Financial & insurance activities,United States,California,San Francisco,Service with Minor Environmental Footprint,10-49,www.veriswp.com
Eminence Organic Skin Care Inc.,2020-02-26T23:57:33.576Z,Personal care products,Wholesale,Canada,British Columbia,Vancouver,Wholesale/Retail,50-249,eminenceorganics.com
KAST Architects,2022-03-23T01:03:00.595Z,Architecture design & planning,"Real estate, design & building",United Kingdom,Cornwall,Truro,Service with Minor Environmental Footprint,1-9,www.kastarchitects.com
Big Cat,2022-03-23T13:08:58.691Z,Advertising & market research,Professional & technical services,United Kingdom,Warwickshire,Birmingham,Service with Minor Environmental Footprint,1-9,https://bigcatagency.com
Mayhew Bros [Ember] Ltd,2022-03-18T00:03:08.617Z,Food products,Retail,United Kingdom,United Kingdom,London,Wholesale/Retail,1-9,www.embersnacks.com
"3Sisters Sustainable Management, Inc",2022-04-26T21:02:50.694Z,Investment advising,Financial & insurance activities,United States,North Carolina,Hillsborough,Service with Minor Environmental Footprint,1-9,www.3sistersinvest.com
Viastory,2020-12-07T17:08:23.753Z,Advertising & market research,Professional & technical services,Netherlands The,Limburg,MAASTRICHT,Service with Minor Environmental Footprint,1-9,www.viastory.com
Le Labo Holding LLC,2022-02-25T19:43:47.391Z,Personal care products,Retail,United States,New York,Brooklyn,Wholesale/Retail,50-249,www.lelabofragrances.com
Kiro,2021-12-22T15:39:43.222Z,Beverages,Manufactured Goods,Brazil,São Paulo,Atibaia,Manufacturing,1-9,www.bebakiro.com
Woodlands Food Services Ltd T/A LioBites,2021-11-08T14:13:45.046Z,Food products,Wholesale,United Kingdom,Surrey,Croydon,Wholesale/Retail,0,www.liobites.com
"WasteZero, Inc.",2018-05-10T00:00:00Z,Rubber & plastics products,Manufactured Goods,United States,North Carolina,Raleigh,Manufacturing,50-249,www.wastezero.com
