Department,SubDepartment,Category,Product Name,Price,Product URL,Product Image,Secondary Image,Cert1,Cert2,Cert3,Description,features,Ingredients,Notes
home-and-garden,kitchen-and-dining,Dish,Scrub Sponge,13,https://www.blueland.com/products/scrub-sponge,https://cdn.sanity.io/images/d864s8gp/production/51075b0b493dd7c892e6c140b001fa8fcf25c559-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Unlike conventional kitchen sponges that contain plastic, our powerful and compostable dual-action sponge works just as hard, but with plant-based power. Tackle your toughest messes with a plastic-free alternative that can get the job done – a loofah side for scrubbing stuck-on food and a 100% FSC-certified cellulose side for washing away grime.

    100% Plastic-Free: Free of all plastics
    Durable: Hand-sewn with cotton thread for strength, instead of plastic glues or adhesives
    Easy to Sanitize: Throw it in the dishwasher or boil to easily sanitize","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,kitchen-and-dining,Dish,Pop-Up Sponge,11,https://www.blueland.com/products/pop-up-sponge,https://cdn.sanity.io/images/d864s8gp/production/9736ddcfeac2ab9f7cf2ac5f113831206fe8ad61-1790x1790.jpg?w=300&q=100&fit=clip&auto=format&dpr=2,,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Upgrade from your conventional plastic sponge to our compostable, plant-based super absorber. Our Pop-Up Sponge arrives flat and compact for easy storage (it's 1/5th the size of a regular sponge!). Just add water and... yep, you guessed it – it pops up. So you can clean without the plastic waste or worry.

    100% Plastic-Free: Free of all plastics
    Ultra-Absorbent: FSC-certified plant cellulose doesn't leave a trace of food behind
    Easy to Sanitize: Throw it in the dishwasher or boil to easily sanitize","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,bath-and-laundry,Hand Soap,National Parks Hand Soap Refill Packs,12.5,https://www.blueland.com/products/national-parks-hand-soap-refill-packs?option=0,https://cdn.sanity.io/images/d864s8gp/production/fd43f1e24ddf03e09dc2e6aacb3861d63b78f814-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/fe85dc8239f9260a17d165fb26d6cc7b3261eb82-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Reduce, reuse, refill with our bestselling hand soap scents. Take your pick from five classic scents or opt for our limited edition packs and say goodbye to single-use plastic.

Just fill with water, drop in a tablet and voila! hydrating, foamy goodness at your fingertips.

    Classic Scents: Iris Agave, Perrine Lemon, Lavender Eucalyptus, Evergreen, Pacific Mist, and Fragrance-Free
    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Save Plastic & Money: Never pay for water or a new plastic bottle with space-saving foaming hand soap refills that start at $2.25","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",7 scents available
home-and-garden,bath-and-laundry,Hand Soap,Hand Soap Refill Packs,12,https://www.blueland.com/products/hand-soap-refill-packs?option=0,https://cdn.sanity.io/images/d864s8gp/production/2e46733af800be2cc09cc939f9830e73b4214878-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/b54dc08c2f50da7376675e1e5977809916a7f40a-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Reduce, reuse, refill with our bestselling hand soap scents. Take your pick from five classic scents or opt for our limited edition packs and say goodbye to single-use plastic.

Just fill with water, drop in a tablet and voila! hydrating, foamy goodness at your fingertips.

    Classic Scents: Iris Agave, Perrine Lemon, Lavender Eucalyptus, Evergreen, Pacific Mist, and Fragrance-Free
    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Save Plastic & Money: Never pay for water or a new plastic bottle with space-saving foaming hand soap refills that start at $2.25","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",5 colors available
home-and-garden,bath-and-laundry,Hand Soap,Hand Soap Duo,15,https://www.blueland.com/products/hand-soap-duos?option=0,https://cdn.sanity.io/images/d864s8gp/production/a37836782b3e065add5e2ddcd104425c4e39f4b0-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/19dfe8a7090e04a7e9b54a94f600459943898bcb-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Your sink's new BFF (literally, forever). We've eliminated the single-use plastic waste of traditional hand soaps by creating one bottle made to last forever. Just fill with water, drop in a tablet and voila! Hydrating, foamy goodness at your fingertips.

Each tablet makes one full bottle of Foaming Hand Soap for you to enjoy.

    Scents: Iris Agave, Perrine Lemon, Lavender Eucalyptus, Pacific Mist, & Evergreen
    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Save Space & Money: Tablets take up 10x less space than a traditional bottle and refills start at $2.25","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",5 colors available
home-and-garden,bath-and-laundry,Hand Soap,Hand Soap Starter Set,8,https://www.blueland.com/products/hand-soap-sets?option=0,https://cdn.sanity.io/images/d864s8gp/production/0444ad696a218331f9377791b48e2dc7f8cb0b9c-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/64b736705e1722ccb38011275f00df60a077f006-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Your sink's new BFF (literally, forever). We've eliminated the single-use plastic waste of traditional hand soaps by creating one bottle made to last forever. Just fill with water, drop in a tablet and voila! Hydrating, foamy goodness at your fingertips.

Each tablet makes one full bottle of Foaming Hand Soap for you to enjoy.

    Scent Options: Iris Agave, Perrine Lemon, Lavender Eucalyptus, Pacific Mist, and Evergreen
    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Save Space & Money: Tablets take up 10x less space than a traditional bottle and foaming hand soap refills start at $2.25","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",2 colors available
home-and-garden,bath-and-laundry,Hand Soap,Foaming Hand Soap Pump,2,https://www.blueland.com/products/foaming-hand-soap-pump?option=0,https://cdn.sanity.io/images/d864s8gp/production/e8403bfac4ecad089acd57e678f87b847cbbe7c4-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,–,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Whether you’re in the mood to switch up your colors or your pump has run its course, look no further. Keep your Forever Bottle and twist on a brand new pump for the perfect foamy lather. Recycle your old pump locally or send it back to us and we can do it for you!","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",3 colors available
home-and-garden,bath-and-laundry,Hand Soap,Hand Soap Forever Bottle,12,https://www.blueland.com/products/forever-hand-soap-bottle?option=0,https://cdn.sanity.io/images/d864s8gp/production/3f85dd014cab21c44268ca87538f488b96d59b39-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,–,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"It wouldn't be our famous Foaming Hand Soap without its beautiful glass Forever Bottle! This glass bottle allows for precise water measurement, giving you the visibility to fill up to the half-round with each refill. Just fill, drop, and clean for one full bottle of foamy hand soap goodness.","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",5 scents available
home-and-garden,bath-and-laundry,Hand Soap,National Parks Hand Soap Refill Packs,12.5,https://www.blueland.com/products/national-parks-hand-soap-refill-packs?option=0,https://cdn.sanity.io/images/d864s8gp/production/fd43f1e24ddf03e09dc2e6aacb3861d63b78f814-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/fe85dc8239f9260a17d165fb26d6cc7b3261eb82-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Reduce, reuse, refill with our bestselling hand soap scents. Take your pick from five classic scents or opt for our limited edition packs and say goodbye to single-use plastic.

Just fill with water, drop in a tablet and voila! hydrating, foamy goodness at your fingertips.

    Classic Scents: Iris Agave, Perrine Lemon, Lavender Eucalyptus, Evergreen, Pacific Mist, and Fragrance-Free
    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Save Plastic & Money: Never pay for water or a new plastic bottle with space-saving foaming hand soap refills that start at $2.25

Ingredients

Name
CAS
Source","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
home-and-garden,bath-and-laundry,Laundry,The Tablet Trio,47,https://www.blueland.com/products/the-tablet-trio,https://cdn.sanity.io/images/d864s8gp/production/168ca8246714ebfaab149820c5df68a2cd8c1724-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,https://cdn.sanity.io/images/d864s8gp/production/cb42c4959984d8b57d1af2b9523eaa941f3a6179-1790x1790.jpg?w=700&q=100&fit=clip&auto=format&dpr=2,EPA Safer Choice,Cradle to Cradle Certified™,Leaping Bunny (cruelty-free),"Small tablet, big clean. Save space and money while also doing good for the planet with this trio of our plastic-free, sustainable best-sellers. Our Toilet Bowl Cleaner, Dishwasher Detergent Tablets and Laundry Detergent Tablets have all of the cleaning power without any of the plastic. 100% plastic-free and made with ingredients safe for you and the planet. Three powerful ways to clean, none of the plastic waste.

    Clean Ingredients: Made with plant-based and planet-friendly ingredients
    Effective: Independently tested to perform alongside major brands
    Space Saving: Ditch the bulk with a compact Forever Tin and refill tablets that take up a fraction of the space of the equivalent plastic bottle
    21% Kit Savings: Get three of our best-sellers in one kit and save on costs and emissions","Planet Friendly Packaging
Compostable Refill Packaging
Recyclable Shipping Box
Paper-Based Tape
Water-Based Inks
No Single-Use Plastic","Made without parabens, phosphates, ammonia, VOCs, chlorine, bleach, or phthalates
Vegan, gluten-free, soy and nut-free",
